CLAIMNO,DESCRIPTIONACCIDENT,label,,,,,
MOT11965634,Khalilabad,2,,,,,
MOT11965784,one two wheeler could not control and dashed the right side of hector.,2,,,,,
MOT11965780,AS PER CLAIM FOAM,2,,,,,
MOT11964068,another vehicle hit front side and fil down right side,1,,,,,
MOT11963894,Aage wale vehicle ne achank break use kiye or meri gaadi control nhi hui es vajh se usmein lag gyi,1,,,,,
MOT11964002,DAMEGE,2,,,,,
ECF2182852814e4c,WHILE TAKING FORWARD FROM THE CAR PORCH THE FRONT AND RIGHT SIDE OF THE VEHICLE HITTED ON A BOUNDARY WALL,0,,,,,
MOT11963906,Road crossing k dawran auto wale ne shamne se dhaka mara jishke karan meri gadi bayen taraf gir gai,1,,,,,
MOT11964112,DAMAGED,2,,,,,
MOT11963709,Gadi lay ne jta tyre road ni side mathi achank bhind athdata aagar na bhag ma nukshan thyel,2,,,,,
MOT11964136,Our vehicle had collided with a dog on highway road. At the same time another animal dashed on right side portion of our vehicle causing damages.,2,,,,,
MOT11946989,Dog hit from front side,0,,,,,
ECF2338236014f0c,Suddenly A Bike hit my car Back side,1,,,,,
MOT11963657,DAMEGE,2,,,,,
ECF22155443947ae,WHILE DRIVING ONE STONE DASH ON MY CAR FRONT GLASS I TOOK RIGHT AND BRUSHED MY CAR FRONT RIGHT SIDE VEHICLE,1,,,,,
MOT11963756,Hit a low boundary wall during reverse,0,,,,,
MOT11965207,Dusre vahan ne peeche se takkar maar de,1,,,,,
MOT11964563,A GOOD VEHICLE HIT AT LEFT BACK SIDE OF MY CAR WHILE I TOOK A TURN SLOWING DOWN A CYCLE OVERVING FACING TO MYE AT A THORP TURING .THE GOOD VEHICLE AT THE TURNING ROULD NOT CONTROL HIM SELF AND BADLY HIT ME ROUNDING SEVERE DAMAGE,1,,,,,
MOT11964833,a lady driver with venue car entered from left on main road and hit my vehicle at left side. she didnt look at both sided of road before entering on main road my vehicle got damage from left side,1,,,,,
MOT11964642,HIT WITH TRUCK,2,,,,,
MOT11963974,Happend near irla while taking a U turn from Amar Juice centre the barricade of the metro I laid out so the back wheel got hit by it & instantly brust,0,,,,,
ECF23166375249e4,Near police check post,2,,,,,
ECF2186828774d81,MERE SAALE KA LDKA APNE NIJI KAAM SE GHAR SE SIKANDRABAAD JA RHE THE TABHI ACHANAK SAMNE SE EK BIKE WALE NE TAKKAR MAAR DI JISSE BIKE ASHUNTILIT HOKAR PULIA SE LADKAR CHATIGRAST HO GAI,1,,,,,
MOT11965082,AS PER CLAIM FORM,2,,,,,
ECF19846917140d8,As per claim form,2,,,,,
MOT11965223,CHALAK JAA RHA THA SAMNE SE CAR WALE NE TAKKAR MAR DIAY HAI,2,,,,,
MOT11965792,Left side se Scooty wale ne Takkar mari aur gadi Right side Gir gayi,1,,,,,
MOT11960313,VECHICLE DAMAGED,2,,,,,
MOT11965793,WHILE TRAVELLING FROM NERUL TO AMBERNATH I AM OVERTAKE ON ROAD TO ONE TRUCK HEAVY VEHICLE ACCIDENT WITH SIDE DIVIDER FRONT BUMPER DAMAGE IS THERE WITH DIVIDER ON RIGHT SIDE,1,,,,,
MOT11965830,STUCK DIRECTLY IN DIVIDER TO SAVE A HUMAN BEING.,2,,,,,
MOT11965799,FROM R.H SIDE A TEMPO WAS DASH WITH MY CAR AND I TAKE L.H SIDE BUT MY CAR GOT DASH WITH A TEMPO WHICH WAS PARKED ON ROAD L.H SIDE AND SAME TIME DUE TO SUDDEN BRAKE FROM REAR L.H SIDE ANOTHER VEHICLE WAS ALSO DAMAGED MY CAR.,1,,,,,
MOT11964534,Moanky was to jump Tobe hood was to dhamj,2,,,,,
MOT11965434,As par claim from,2,,,,,
MOT11964177,AS PER FORM,2,,,,,
MOT11965685,HIT A ROAD HOLE,2,,,,,
MOT11964003,KEY LOSS,2,,,,,
MOT11964421,Vishal mega mart ke pass ek pulsar vale se takkar maar di gaadi disbalance ho kr gir gai,1,,,,,
MOT11959581,Front left side hit bike and fell down vehicle left side,1,,,,,
MOT11964007,As per claim for.,2,,,,,
ECF2198751874eb1,Ahemedabad,2,,,,,
MOT11964120,As per estimate,2,,,,,
MOT11963663,DAMEGE,2,,,,,
MOT11965227,THE CAR WAS BEING TRAVELLING TOWARDS NERUL VIA URAN PHATA AFTER THE TURNING REAR RR PATH UDYAN ONE CAR MOVING AHED SUDDENLY APPLIED BRAKES AND I ALSO APPLIED BRAKES INSTANTLY ALTHOUGH THERE WAS NO COLLISIUM IN THE CAR MOVING AHEAD THE CAR AT THE REAR COULD NOT CONTROL & MY CAR DAMAGING THE BOOT AND THE BUMPER AT THE SAME TIME A RICKSHAW ON THE FRONT SIDE BRUSHED FROM FRONT SIDE,2,,,,,
MOT11964838,damaged,2,,,,,
MOT11965209,Karmauta se sikandarpur jate samay karmauta ke pass brekar ke pass jab hamne break mara tabhi ak tempu wale ne hamari gadi ko pichhe se takar mar diya or hamari gadi chhattisgarh ho gai,1,,,,,
MOT11965276,suddenly the car hit on the back,2,,,,,
MOT11964325,HIT WITH A OBJECTSON LEFT SIDE OF THE CAR,2,,,,,
MOT11965215,NADIAD THI MEHEMDABAD AAVATA ROAD ANE DIVAYDER NU KAM CHALU HOVATHI CIMENT.RATI.CAPCHI ROAD UPER HOVATHI ACTIVA SLIP MARI NE DIVAYDER MA ATHADAYU.,1,,,,,
MOT11965282,While driving my activa suddenly my activa's accelerator increased and my activa got crashed into a poll and got damaged,0,,,,,
MOT11965237,A FLYING STONE HIT OUR CAR FRONT WINDSHEALD OR GLASS GOT DAMAGED,2,,,,,
MOT11964911,A car heat from rear side n vechiel slepped on rhs side,1,,,,,
MOT11964915,Samne se bike ne takkar maar diya or gadi left side gir gaya,1,,,,,
ECF21931375442d9,Mate chowk madhe traffic astana magun commercial taxi ni dash maarli. Tya mule car chi back side damage zali,2,,,,,
MOT11965723,A UKNOWN VEHICLE HIT FROM FRONT SIDE,1,,,,,
MOT11952337,As per claim form,1,,,,,
MOT11965074,60 NI SPEED PAR GADI JATI HATI ACHANAK ROJADU ADU UTARTA GADI NO CONTROAL NA RETA GADI ROAD NICHE UTARI GAY,1,,,,,
MOT11965447,???? ??? ???? ?????? ?? ???? ??? ?? ??? ?? ??? ?? ???? ??? ??? ?? ??? ????? ???? ?? ? ??? ??? ?? ??? ??? ?? ?? ???? ???? ???? ??? ??,2,,,,,
MOT11964705,While parking unfortunately gave sudden acceleration hitted my vehicle in to pillar hence my vehicle left side damaged,0,,,,,
MOT11965040,Daimeg from front side from animal,2,,,,,
MOT11959796,VECHICLE DAMAGED,2,,,,,
MOT11965598,Khalilabad,2,,,,,
MOT11965852,Samne se bike aa rahi thi or achhanak se meri gari ki takar hui jis karan meri gari ki chhati garast huaa,1,,,,,
ECF220076343465f,Insured vehicle was hit against a car and fall down to left side,1,,,,,
MOT11964201,As per claimform,2,,,,,
MOT11964205,On a narrow road the oncoming vehicle hit onto my car thus damaging the right side of the car,1,,,,,
ECF21021097340fc,While waiting for the signal behind maruti car was hitten my car back side,1,,,,,
MOT11963655,DAMEGE,2,,,,,
MOT11964166,bike wala e left rear side takkar marta left side padi jata nukasan thayelchhe,1,,,,,
MOT11964146,Auto was hit by my vehicle,1,,,,,
MOT11964097,As per estimate,2,,,,,
MOT11964245,Hit on a wall and fell down while giving side to a car,1,,,,,
ECF2194992934489,My husband was driving suddenly one two Wheller passed from near side and madd a cut. He got disbalanced due to that and fall on road.,1,,,,,
MOT11964135,As per claim form,2,,,,,
MOT11965304,Our vehicle had collided on back portion of front going truck which applied sudden brake.,1,,,,,
MOT11965307,SAMNE SE BIKE WALE NE AKKAR MAAR DIYA JISASE GAADI GIR K CHATIGRASTH HO GAYI,1,,,,,
MOT11964012,AS PER CLAIM FORM,2,,,,,
MOT11965143,Kansari,2,,,,,
ECF2309921584c10,Agad ni gadi brake karata pa6ad atahadata gadi ma nukasan thayu 6e,2,,,,,
MOT11964160,Suddenly bike come front side and i put brake another car hit from back side and bike hit from front side,1,,,,,
MOT11965233,Motercycle ek caar se takraker damage ho gai,2,,,,,
MOT11963296,TWO WHEELER RIDER COMING FROM FRONT SIDE WHIL;E OVER TAKING HE DASHED ON MY CAR,1,,,,,
ECF172845577477e,Left side one biker hit our car to pass away and save the car no moved right side and again Hitted my car another car.,1,,,,,
MOT11965126,ANK THI VAGRAJATA DEKOR SHOWRROM NE SAMI CHOTA HATHI TAEMP WALO AACHNAK BRKE MARTA MARI GADI ANE PACHAL MARI GAD LAGI JATA MARI GADI MA AAGE NA BHAGE DAMAGES THYO CHE,1,,,,,
MOT11963841,As par claim form,2,,,,,
